Day fraction since midnight on 	photometer (volts)	photometer (mg/L)
0.6325001023	1.7268019915	2.0480844975
0.6325579677	1.6921948195	2.0623774529
0.6326158451	1.6976392269	2.0601248741
0.6326736992	1.7663282156	2.0318341255
0.6327315992	1.7863484621	2.0236332417
0.6327894535	1.7674136162	2.0313889980
0.6328473304	1.7459487915	2.0402028561
0.6329051848	1.7314198017	2.0461819172
0.6329630617	1.7006821632	2.0588665009
0.6330209392	1.6954703331	2.0610220432
0.6330787932	1.6531847715	2.0785617828
0.6331366703	1.6197060347	2.0925133228
0.6331945475	1.6441820860	2.0823078156
0.6332524013	1.6469107866	2.0811719894
0.6333102669	1.6536916494	2.0783510208
0.6333681444	1.5752950907	2.1111092567
0.6334260213	1.5937829018	2.1033556461
0.6334838984	1.6054806709	2.0984587669
0.6335417525	1.5353993177	2.1279013157
0.6335996364	1.5665687323	2.1147751808
0.6336574901	1.4947180748	2.1451089382
0.6337153560	1.4958066940	2.1446473598
0.6337732351	1.4785565138	2.1519689560
0.6338311145	1.4712896347	2.1550579071
0.6338889686	1.5013339520	2.1423046589
0.6339468692	1.4722484350	2.1546502113
0.6340047229	1.5066369772	2.1400585175
0.6340625774	1.4887980223	2.1476202011
0.6341204567	1.4780621529	2.1521790028
0.6341783337	1.4574666023	2.1609413624
0.6342361881	1.4592146873	2.1601967812
0.6342940675	1.4474253654	2.1652214527
0.6343519447	1.4814445972	2.1507420540
0.6344097984	1.4310119152	2.1722290516
0.6344676759	1.4517458677	2.1633791924
0.6345255531	1.3736845255	2.1968157291
0.6345834072	1.4043614864	2.1836373806
0.6346412747	1.3474924564	2.2081067562
0.6346991558	1.3654375076	2.2003669739
0.6347570330	1.3295902014	2.2158451080
0.6348148871	1.3644719124	2.2007830143
0.6348727871	1.3368418217	2.2127084732
0.6349306296	1.3255752325	2.2175829411
0.6349885071	1.3088111877	2.2248482704
0.6350463839	1.3421927691	2.2103958130
0.6351042498	1.2867246866	2.2344431877
0.6351621039	1.3105666637	2.2240867615
0.6352199923	1.2865746021	2.2345085144
0.6352778468	1.2816150188	2.2366666794
0.6353357239	1.2643405199	2.2441940308
0.6353936008	1.2304399014	2.2590126991
0.6354514667	1.2455570698	2.2523970604
0.6355093439	1.2192161083	2.2639324665
0.6355672254	1.2192509174	2.2639172077
0.6356250817	1.2536959648	2.2488403320
0.6356829358	1.2140312195	2.2662074566
0.6357408129	1.2201412916	2.2635266781
0.6357986900	1.1700786352	2.2855510712
0.6358565475	1.1781191826	2.2820045948
0.6359144153	1.1868053675	2.2781772614
0.6359722928	1.1762454510	2.2828307152
0.6360301699	1.1817001104	2.2804262638
0.6360880355	1.1712948084	2.2850143909
0.6361459127	1.1716941595	2.2848381996
0.6362037668	1.1576870680	2.2910234928
0.6362616321	1.1963561773	2.2739737034
0.6363195093	1.1558557749	2.2918329239
0.6363773752	1.1492134333	2.2947704792
0.6364352523	1.1462775469	2.2960696220
0.6364931292	1.2126569748	2.2668106556
0.6365509836	1.1721594334	2.2846329212
0.6366088605	1.1625436544	2.2888777256
0.6366667228	1.1786605120	2.2817659378
0.6367246056	1.1629338264	2.2887053490
0.6367824596	1.1647391319	2.2879080772
0.6368403365	1.1356037855	2.3007967472
0.6368982140	1.1444106102	2.2968959808
0.6369560912	1.1139889956	2.3103883266
0.6370139725	1.1690948009	2.2859852314
0.6370718269	1.1394582987	2.2990889549
0.6371296878	1.1556309462	2.2919323444
0.6371875668	1.1364802122	2.3004083633
0.6372454209	1.1331164837	2.3018991947
0.6373033212	1.1320768595	2.3023600578
0.6373611572	1.1298643351	2.3033411503
0.6374190343	1.1552944183	2.2920811176
0.6374769135	1.1543021202	2.2925198078
0.6375347700	1.1408513784	2.2984719276
0.6375926493	1.1324796677	2.3021814823
0.6376505146	1.1495976448	2.2946004868
0.6377083804	1.1049019098	2.3144283295
0.6377662805	1.1643401384	2.2880842686
0.6378241390	1.1282204390	2.3040702343
0.6378819953	1.1813993454	2.2805588245
0.6379398610	1.1450229883	2.2966248989
0.6379977381	1.1473985910	2.2955734730
0.6380556152	1.0808664560	2.3251359463
0.6381134691	0.9970830083	2.3627090454
0.6381713462	0.9823215604	2.3693690300
0.6382292122	0.9922247529	2.3648996353
0.6382870893	0.9347274303	2.3909246922
0.6383449550	0.9721968174	2.3739440441
0.6384028355	1.0063681602	2.3585259914
0.6384606895	1.0081619024	2.3577184677
0.6385185667	1.0010312796	2.3609297276
0.6385764461	1.0458198786	2.3408057690
0.6386343159	1.0187833309	2.3529403210
0.6386921721	0.9996042252	2.3615727425
0.6387500421	1.0133343935	2.3553907871
0.6388079080	1.0200747252	2.3523597717
0.6388658080	1.0032652617	2.3599233627
0.6389236645	1.0294393301	2.3481528759
0.6389815187	1.0300511122	2.3478782177
0.6390393958	1.0266498327	2.3494055271
0.6390972730	1.0323992968	2.3468241692
0.6391551427	1.0347698927	2.3457603455
0.6392129969	1.0264666080	2.3494877815
0.6392708761	1.0137144327	2.3552198410
0.6393287529	1.0081020594	2.3577454090
0.6393866073	1.0576521158	2.3355078697
0.6394444844	1.0651301146	2.3321635723
0.6395023652	1.0584908724	2.3351325989
0.6395602192	1.0449239016	2.3412072659
0.6396180990	1.0714128017	2.3293561935
0.6396759531	1.0569013357	2.3358438015
0.6397338324	1.0416982174	2.3426530361
0.6397917097	1.0756328106	2.3274717331
0.6398495637	1.0634394884	2.3329193592
0.6399074409	1.0646591187	2.3323740959
0.6399653181	1.0088669062	2.3574011326
