Day fraction since midnight on 	photometer (volts)	photometer (mg/L)
0.6113775159	-1.0353558064	3.4033327103
0.6114353931	-1.0416163206	3.4069561958
0.6114932706	-1.0276757479	3.3988914490
0.6115511244	-1.0385603905	3.4051871300
0.6116090246	-1.0439721346	3.4083204269
0.6116668790	-1.0537874699	3.4140086174
0.6117247331	-1.0445891619	3.4086778164
0.6117826103	-1.0486958027	3.4110569954
0.6118404871	-1.0528622866	3.4134721756
0.6118983415	-1.0514624119	3.4126605988
0.6119562187	-1.0524486303	3.4132323265
0.6120140955	-1.0539869070	3.4141242504
0.6120719498	-1.0580093861	3.4164574146
0.6121298271	-1.0642049313	3.4200532436
0.6121877041	-1.0550369024	3.4147331715
0.6122455814	-1.0542792082	3.4142937660
0.6123034354	-1.0586504936	3.4168293476
0.6123613126	-1.0489985943	3.4112324715
0.6124191897	-1.0549710989	3.4146950245
0.6124770437	-1.0602557659	3.4177608490
0.6125349210	-1.0638312101	3.4198362827
0.6125927981	-1.0637265444	3.4197754860
0.6126506522	-1.0554796457	3.4149899483
0.6127085293	-1.0576550961	3.4162518978
0.6127664065	-1.0588616133	3.4169518948
0.6128242606	-1.0588078499	3.4169206619
0.6128821377	-1.0573838949	3.4160945415
0.6129400169	-1.0579432249	3.4164190292
0.6129978735	-1.0581930876	3.4165639877
0.6130557507	-1.0530054569	3.4135551453
0.6131136278	-1.0632903576	3.4195222855
0.6131714816	-1.0601078272	3.4176750183
0.6132293587	-1.0558849573	3.4152250290
0.6132872359	-1.0580291748	3.4164688587
0.6133450899	-1.0585707426	3.4167830944
0.6134029673	-1.0576325655	3.4162387848
0.6134608446	-1.0636279583	3.4197182655
0.6135187006	-1.0702836514	3.4235839844
0.6135765780	-1.0785484314	3.4283885956
0.6136344551	-1.0688154697	3.4227309227
0.6136923092	-1.0670208931	3.4216885567
0.6137502094	-1.0689524412	3.4228105545
0.6138080658	-1.0663161278	3.4212791920
0.6138659198	-1.0603461266	3.4178133011
0.6139237967	-1.0612688065	3.4183487892
0.6139816742	-1.0748682022	3.4262485504
